LogS,Temperature (K),Drug,Solvent_1,Solvent_2,SMILES_1,SMILES_2,comp_1,comp_2
-2.2048,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-2.0817,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.9664,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.8525,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.7387,298.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.632,303.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.5253,308.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.4344,313.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.3359,318.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.2394,323.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.1489,328.15,Clozapine,2-Propanol,Water,OC(C)C,O,3.2246,96.7754
-1.6428,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.5371,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.4307,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.3255,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.2222,298.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.1351,303.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.0368,308.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-0.949,313.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-0.8648,318.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-0.7802,323.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-0.6919,328.15,Clozapine,2-Propanol,Water,OC(C)C,O,6.9743,93.0257
-1.2049,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-1.111,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-1.0179,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.9314,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.8425,298.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.7668,303.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.6837,308.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.6045,313.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.5306,318.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.4632,323.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.3906,328.15,Clozapine,2-Propanol,Water,OC(C)C,O,11.3887,88.6113
-0.8713,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.7851,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.7007,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.6243,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.5479,298.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.4742,303.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.3993,308.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.326,313.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.2577,318.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.1925,323.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.1313,328.15,Clozapine,2-Propanol,Water,OC(C)C,O,16.6615,83.3385
-0.6208,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.5398,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.4556,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.3796,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.3074,298.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.238,303.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.1708,308.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.0954,313.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.0346,318.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
0.0294,323.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
0.0903,328.15,Clozapine,2-Propanol,Water,OC(C)C,O,23.0703,76.9297
-0.4057,278.15,Clozapine,2-Propanol,Water,OC(C)C,O,31.0265,68.9735
-0.3349,283.15,Clozapine,2-Propanol,Water,OC(C)C,O,31.0265,68.9735
-0.2464,288.15,Clozapine,2-Propanol,Water,OC(C)C,O,31.0265,68.9735
-0.1812,293.15,Clozapine,2-Propanol,Water,OC(C)C,O,31.0265,68.9735
